ID,FirstName,LastName,DOB,Gender,Department,Salary
1,John,Smith,1980-05-15,Male,Engineering,60000
2,Sarah,Johnson,1990-07-20,Female,Finance,55000
3,Michael,Williams,1985-02-10,Male,Engineering,62000
4,Emily,Brown,1992-11-30,Female,Sales,58000
5,David,Jones,1988-09-05,Male,Marketing,65000
6,Olivia,Davis,1995-04-12,Female,Finance,54000
7,James,Wilson,1983-03-25,Male,IT,70000
8,Sophia,Anderson,1991-08-17,Female,Sales,59000
9,Liam,Miller,1979-12-01,Male,Engineering,61000
10,Emma,Taylor,1993-06-28,Female,Marketing,63000
11,Robert,Johnson,1982-09-14,Male,Sales,58000
12,Mia,Moore,1987-03-03,Female,Marketing,67000
13,William,Clark,1984-04-20,Male,Engineering,61000
14,Charlotte,Anderson,1994-01-07,Female,Finance,55000
15,Daniel,Davis,1989-08-25,Male,Sales,59000
16,Sophia,Turner,1990-12-12,Female,Marketing,64000
17,Matthew,Parker,1986-06-08,Male,IT,66000
18,Ava,Williams,1993-03-15,Female,Finance,57000
